,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-01-10,232.94146381259154,222.29417485314303,243.52122252978177,232.94146381259154,232.94146381259154,0.0,0.0,0.0,0.0,0.0,0.0,232.94146381259154
1,2022-01-17,268.6737029530403,258.15364300906106,278.9281257110552,268.6737029530403,268.6737029530403,0.0,0.0,0.0,0.0,0.0,0.0,268.6737029530403
2,2022-01-24,304.40594732104364,292.94890572986696,314.6396956086304,304.40594732104364,304.40594732104364,0.0,0.0,0.0,0.0,0.0,0.0,304.40594732104364
3,2022-01-31,340.13968150800036,329.86257480291835,350.28828463468477,340.13968150800036,340.13968150800036,0.0,0.0,0.0,0.0,0.0,0.0,340.13968150800036
4,2022-02-07,375.9298595427862,365.01281327758466,385.83945591113894,375.9298595427862,375.9298595427862,0.0,0.0,0.0,0.0,0.0,0.0,375.9298595427862
5,2022-02-14,411.7729838550635,402.41729177526,422.69924229272056,411.7729838550635,411.7729838550635,0.0,0.0,0.0,0.0,0.0,0.0,411.7729838550635
6,2022-02-21,467.7508066059054,457.0881719671402,478.8383867230113,467.7508066059054,467.7508066059054,0.0,0.0,0.0,0.0,0.0,0.0,467.7508066059054
7,2022-02-28,523.7662933959614,512.5780417583347,533.1430971764606,523.7662933959614,523.7662933959614,0.0,0.0,0.0,0.0,0.0,0.0,523.7662933959614
8,2022-03-07,579.8054388458569,569.8473544583811,590.0349222902539,579.8054388458569,579.8054388458569,0.0,0.0,0.0,0.0,0.0,0.0,579.8054388458569
9,2022-03-14,635.8478891666573,625.4732143746963,645.867033786428,635.8478891666573,635.8478891666573,0.0,0.0,0.0,0.0,0.0,0.0,635.8478891666573
10,2022-03-21,698.5253654249666,687.510871342325,709.688000882581,698.5253654249666,698.5253654249666,0.0,0.0,0.0,0.0,0.0,0.0,698.5253654249666
11,2022-03-28,763.2336606810908,752.599667878064,774.1010641255833,763.2336606810908,763.2336606810908,0.0,0.0,0.0,0.0,0.0,0.0,763.2336606810908
12,2022-04-04,827.9439287595744,818.7528002966208,838.1102076633255,827.9439287595744,827.9439287595744,0.0,0.0,0.0,0.0,0.0,0.0,827.9439287595744
13,2022-04-11,892.6788410713539,882.118839097401,903.4783537987562,892.6788410713539,892.6788410713539,0.0,0.0,0.0,0.0,0.0,0.0,892.6788410713539
14,2022-04-18,957.443355060566,946.7430861890209,967.1857269799553,957.443355060566,957.443355060566,0.0,0.0,0.0,0.0,0.0,0.0,957.443355060566
15,2022-04-25,1022.2456487991725,1012.0927325216574,1032.6645339054892,1022.2456487991725,1022.2456487991725,0.0,0.0,0.0,0.0,0.0,0.0,1022.2456487991725
16,2022-05-02,1087.9900958262715,1077.5807045921285,1097.8478217335974,1087.9900958262715,1087.9900958262715,0.0,0.0,0.0,0.0,0.0,0.0,1087.9900958262715
17,2022-05-09,1166.9466329305442,1156.4441542842446,1177.3166258463846,1166.9466329305442,1166.9466329305442,0.0,0.0,0.0,0.0,0.0,0.0,1166.9466329305442
18,2022-05-16,1246.0332067493573,1235.308544370749,1256.0634544926306,1246.0332067493573,1246.0332067493573,0.0,0.0,0.0,0.0,0.0,0.0,1246.0332067493573
19,2022-05-23,1347.727643063843,1336.9508965241191,1357.7212153388243,1347.727643063843,1347.727643063843,0.0,0.0,0.0,0.0,0.0,0.0,1347.727643063843
20,2022-05-30,1449.4795097182637,1439.6007843878403,1460.9794808816182,1449.4795097182637,1449.4795097182637,0.0,0.0,0.0,0.0,0.0,0.0,1449.4795097182637
21,2022-06-06,1551.2313776661533,1540.8764271709567,1561.2715626993845,1551.2313776661533,1551.2313776661533,0.0,0.0,0.0,0.0,0.0,0.0,1551.2313776661533
