"ds","y"
"2022-01-10",241
"2022-01-17",267
"2022-01-24",302
"2022-01-31",336
"2022-02-07",374
"2022-02-14",415
"2022-02-21",464
"2022-02-28",527
"2022-03-07",580
"2022-03-14",635
"2022-03-21",697
"2022-03-28",767
"2022-04-04",826
"2022-04-11",892
"2022-04-18",957
"2022-04-25",1023
"2022-05-02",1091
"2022-05-09",1161
"2022-05-16",1248
"2022-05-23",1340
"2022-05-30",1449
"2022-06-06",1552
"2022-06-13",1658
"2022-06-20",1774
"2022-06-27",1869
"2022-07-04",1946
"2022-07-11",2034
"2022-07-18",2153
"2022-07-25",2264
"2022-08-01",2382
